subject_id	subject_label	predicate_id	object_id	mapping_justification	confidence	comment
MONDO:0001549	hemolytic-uremic syndrome	skos:narrowMatch	Orphanet:576742	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0007418	Darwinian tubercle of pinna	skos:exactMatch	OMIM:124400	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0011841	biotin-responsive basal ganglia disease	skos:exactMatch	Orphanet:199348	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002412	disorder of glycogen metabolism	oboInOwl:hasDbXref	DOID:2747	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002412	disorder of glycogen metabolism	skos:exactMatch	DOID:2747	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0018931	mucolipidosis type III, alpha/beta	skos:exactMatch	Orphanet:577	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005076	periodontitis	skos:exactMatch	DOID:824	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005076	periodontitis	oboInOwl:hasDbXref	DOID:824	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010598	glycogen storage disease IXa1	oboInOwl:hasDbXref	DOID:0111042	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010598	glycogen storage disease IXa1	skos:exactMatch	DOID:0111042	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0015912	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	skos:exactMatch	OMIM:605249	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0020989	hereditary persistence of fetal hemoglobin	skos:relatedMatch	OMIM:142250	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010258	MEHMO syndrome	skos:exactMatch	OMIM:300148	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0018749	hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome	skos:relatedMatch	OMIM:613566	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0009025	apparent mineralocorticoid excess	oboInOwl:hasDbXref	DOID:0090121	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0033044	Meckel syndrome 13	skos:exactMatch	DOID:0080276	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0033044	Meckel syndrome 13	oboInOwl:hasDbXref	DOID:0080276	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0015912	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	skos:exactMatch	Orphanet:1019	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0007617	Coffin-Siris syndrome 1	skos:exactMatch	OMIM:609943	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010602	hemophilia A	skos:exactMatch	OMIM:306700	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010542	dilated cardiomyopathy 3B	oboInOwl:hasDbXref	DOID:0060561	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005084	mental disorder	oboInOwl:hasDbXref	DOID:150	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0019119	muscular channelopathy	skos:narrowMatch	Orphanet:98737	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0043510	brain injury	skos:narrowMatch	Orphanet:90056	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005016	diabetic kidney disease	oboInOwl:hasDbXref	DOID:11503	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0012215	myofibrillar myopathy 3	skos:exactMatch	DOID:0080094	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0012215	myofibrillar myopathy 3	oboInOwl:hasDbXref	DOID:0080094	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0009856	Peters plus syndrome	oboInOwl:hasDbXref	DOID:0080201	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0009856	Peters plus syndrome	skos:exactMatch	DOID:0080201	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010936	frontotemporal dementia and/or amyotrophic lateral sclerosis 7	skos:exactMatch	OMIM:600795	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0019046	leukodystrophy	skos:exactMatch	DOID:0060786	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0019046	leukodystrophy	oboInOwl:hasDbXref	DOID:0060786	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	skos:exactMatch	DOID:0050749	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	oboInOwl:hasDbXref	DOID:0050749	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy	oboInOwl:hasDbXref	DOID:0060600	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002631	conventional osteosarcoma	oboInOwl:hasDbXref	DOID:3378	semapv:UnspecifiedMatching	0.8	UNIQUE_1
